m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 4, 1, 4, 1, PASS
8, 8, 8, 1, 8, 1, PASS
12, 12, 12, 1, 12, 1, PASS
16, 16, 16, 1, 16, 1, PASS
20, 20, 20, 1, 20, 1, PASS
24, 24, 24, 1, 24, 1, PASS
28, 28, 28, 1, 28, 1, PASS
32, 32, 32, 1, 32, 1, PASS
36, 36, 36, 1, 36, 1, PASS
40, 40, 40, 1, 40, 1, PASS
44, 44, 44, 1, 44, 1, PASS
48, 48, 48, 1, 48, 1, PASS
52, 52, 52, 1, 52, 1, PASS
56, 56, 56, 1, 56, 1, PASS
60, 60, 60, 1, 60, 1, PASS
64, 64, 64, 1, 64, 1, PASS
68, 68, 68, 1, 68, 1, PASS
72, 72, 72, 1, 72, 1, PASS
76, 76, 76, 1, 76, 1, PASS
80, 80, 80, 1, 80, 1, PASS
84, 84, 84, 1, 84, 1, PASS
88, 88, 88, 1, 88, 1, PASS
92, 92, 92, 1, 92, 1, PASS
96, 96, 96, 1, 96, 1, PASS
100, 100, 100, 1, 100, 1, PASS
104, 104, 104, 1, 104, 1, PASS
108, 108, 108, 1, 108, 1, PASS
112, 112, 112, 1, 112, 1, PASS
116, 116, 116, 1, 116, 1, PASS
120, 120, 120, 1, 120, 1, PASS
124, 124, 124, 1, 124, 1, PASS
128, 128, 128, 1, 128, 1, PASS
132, 132, 132, 1, 132, 1, PASS
136, 136, 136, 1, 136, 1, PASS
140, 140, 140, 1, 140, 1, PASS
144, 144, 144, 1, 144, 1, PASS
148, 148, 148, 1, 148, 1, PASS
152, 152, 152, 1, 152, 1, PASS
156, 156, 156, 1, 156, 1, PASS
160, 160, 160, 1, 160, 1, PASS
164, 164, 164, 1, 164, 1, PASS
168, 168, 168, 1, 168, 1, PASS
172, 172, 172, 1, 172, 1, PASS
176, 176, 176, 1, 176, 1, PASS
180, 180, 180, 1, 180, 1, PASS
184, 184, 184, 1, 184, 1, PASS
188, 188, 188, 1, 188, 1, PASS
192, 192, 192, 1, 192, 1, PASS
196, 196, 196, 1, 196, 1, PASS
200, 200, 200, 1, 200, 1, PASS
204, 204, 204, 1, 204, 1, PASS
208, 208, 208, 1, 208, 1, PASS
212, 212, 212, 1, 212, 1, PASS
216, 216, 216, 1, 216, 1, PASS
220, 220, 220, 1, 220, 1, PASS
224, 224, 224, 1, 224, 1, PASS
228, 228, 228, 1, 228, 1, PASS
232, 232, 232, 1, 232, 1, PASS
236, 236, 236, 1, 236, 1, PASS
240, 240, 240, 1, 240, 1, PASS
244, 244, 244, 1, 244, 1, PASS
248, 248, 248, 1, 248, 1, PASS
252, 252, 252, 1, 252, 1, PASS
256, 256, 256, 1, 256, 1, PASS
260, 260, 260, 1, 260, 1, PASS
264, 264, 264, 1, 264, 1, PASS
268, 268, 268, 1, 268, 1, PASS
272, 272, 272, 1, 272, 1, PASS
276, 276, 276, 1, 276, 1, PASS
280, 280, 280, 1, 280, 1, PASS
284, 284, 284, 1, 284, 1, PASS
288, 288, 288, 1, 288, 1, PASS
292, 292, 292, 1, 292, 1, PASS
296, 296, 296, 1, 296, 1, PASS
300, 300, 300, 1, 300, 1, PASS
304, 304, 304, 1, 304, 1, PASS
308, 308, 308, 1, 308, 1, PASS
312, 312, 312, 1, 312, 1, PASS
316, 316, 316, 1, 316, 1, PASS
320, 320, 320, 1, 320, 1, PASS
324, 324, 324, 1, 324, 1, PASS
328, 328, 328, 1, 328, 1, PASS
332, 332, 332, 1, 332, 1, PASS
336, 336, 336, 1, 336, 1, PASS
340, 340, 340, 1, 340, 1, PASS
344, 344, 344, 1, 344, 1, PASS
348, 348, 348, 1, 348, 1, PASS
352, 352, 352, 1, 352, 1, PASS
356, 356, 356, 1, 356, 1, PASS
360, 360, 360, 1, 360, 1, PASS
364, 364, 364, 1, 364, 1, PASS
368, 368, 368, 1, 368, 1, PASS
372, 372, 372, 1, 372, 1, PASS
376, 376, 376, 1, 376, 1, PASS
380, 380, 380, 1, 380, 1, PASS
384, 384, 384, 1, 384, 1, PASS
388, 388, 388, 1, 388, 1, PASS
392, 392, 392, 1, 392, 1, PASS
396, 396, 396, 1, 396, 1, PASS
400, 400, 400, 1, 400, 1, PASS
404, 404, 404, 1, 404, 1, PASS
408, 408, 408, 1, 408, 1, PASS
412, 412, 412, 1, 412, 1, PASS
416, 416, 416, 1, 416, 1, PASS
420, 420, 420, 1, 420, 1, PASS
424, 424, 424, 1, 424, 1, PASS
428, 428, 428, 1, 428, 1, PASS
432, 432, 432, 1, 432, 1, PASS
436, 436, 436, 1, 436, 1, PASS
440, 440, 440, 1, 440, 1, PASS
444, 444, 444, 1, 444, 1, PASS
448, 448, 448, 1, 448, 1, PASS
452, 452, 452, 1, 452, 1, PASS
456, 456, 456, 1, 456, 1, PASS
460, 460, 460, 1, 460, 1, PASS
464, 464, 464, 1, 464, 1, PASS
468, 468, 468, 1, 468, 1, PASS
472, 472, 472, 1, 472, 1, PASS
476, 476, 476, 1, 476, 1, PASS
480, 480, 480, 1, 480, 1, PASS
484, 484, 484, 1, 484, 1, PASS
488, 488, 488, 1, 488, 1, PASS
492, 492, 492, 1, 492, 1, PASS
496, 496, 496, 1, 496, 1, PASS
500, 500, 500, 1, 500, 1, PASS
504, 504, 504, 1, 504, 1, PASS
508, 508, 508, 1, 508, 1, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
4, 4, 1, 4, 1, 4, PASS
8, 8, 1, 8, 1, 8, PASS
12, 12, 1, 12, 1, 12, PASS
16, 16, 1, 16, 1, 16, PASS
20, 20, 1, 20, 1, 20, PASS
24, 24, 1, 24, 1, 24, PASS
28, 28, 1, 28, 1, 28, PASS
32, 32, 1, 32, 1, 32, PASS
36, 36, 1, 36, 1, 36, PASS
40, 40, 1, 40, 1, 40, PASS
44, 44, 1, 44, 1, 44, PASS
48, 48, 1, 48, 1, 48, PASS
52, 52, 1, 52, 1, 52, PASS
56, 56, 1, 56, 1, 56, PASS
60, 60, 1, 60, 1, 60, PASS
64, 64, 1, 64, 1, 64, PASS
68, 68, 1, 68, 1, 68, PASS
72, 72, 1, 72, 1, 72, PASS
76, 76, 1, 76, 1, 76, PASS
80, 80, 1, 80, 1, 80, PASS
84, 84, 1, 84, 1, 84, PASS
88, 88, 1, 88, 1, 88, PASS
92, 92, 1, 92, 1, 92, PASS
96, 96, 1, 96, 1, 96, PASS
100, 100, 1, 100, 1, 100, PASS
104, 104, 1, 104, 1, 104, PASS
108, 108, 1, 108, 1, 108, PASS
112, 112, 1, 112, 1, 112, PASS
116, 116, 1, 116, 1, 116, PASS
120, 120, 1, 120, 1, 120, PASS
124, 124, 1, 124, 1, 124, PASS
128, 128, 1, 128, 1, 128, PASS
132, 132, 1, 132, 1, 132, PASS
136, 136, 1, 136, 1, 136, PASS
140, 140, 1, 140, 1, 140, PASS
144, 144, 1, 144, 1, 144, PASS
148, 148, 1, 148, 1, 148, PASS
152, 152, 1, 152, 1, 152, PASS
156, 156, 1, 156, 1, 156, PASS
160, 160, 1, 160, 1, 160, PASS
164, 164, 1, 164, 1, 164, PASS
168, 168, 1, 168, 1, 168, PASS
172, 172, 1, 172, 1, 172, PASS
176, 176, 1, 176, 1, 176, PASS
180, 180, 1, 180, 1, 180, PASS
184, 184, 1, 184, 1, 184, PASS
188, 188, 1, 188, 1, 188, PASS
192, 192, 1, 192, 1, 192, PASS
196, 196, 1, 196, 1, 196, PASS
200, 200, 1, 200, 1, 200, PASS
204, 204, 1, 204, 1, 204, PASS
208, 208, 1, 208, 1, 208, PASS
212, 212, 1, 212, 1, 212, PASS
216, 216, 1, 216, 1, 216, PASS
220, 220, 1, 220, 1, 220, PASS
224, 224, 1, 224, 1, 224, PASS
228, 228, 1, 228, 1, 228, PASS
232, 232, 1, 232, 1, 232, PASS
236, 236, 1, 236, 1, 236, PASS
240, 240, 1, 240, 1, 240, PASS
244, 244, 1, 244, 1, 244, PASS
248, 248, 1, 248, 1, 248, PASS
252, 252, 1, 252, 1, 252, PASS
256, 256, 1, 256, 1, 256, PASS
260, 260, 1, 260, 1, 260, PASS
264, 264, 1, 264, 1, 264, PASS
268, 268, 1, 268, 1, 268, PASS
272, 272, 1, 272, 1, 272, PASS
276, 276, 1, 276, 1, 276, PASS
280, 280, 1, 280, 1, 280, PASS
284, 284, 1, 284, 1, 284, PASS
288, 288, 1, 288, 1, 288, PASS
292, 292, 1, 292, 1, 292, PASS
296, 296, 1, 296, 1, 296, PASS
300, 300, 1, 300, 1, 300, PASS
304, 304, 1, 304, 1, 304, PASS
308, 308, 1, 308, 1, 308, PASS
312, 312, 1, 312, 1, 312, PASS
316, 316, 1, 316, 1, 316, PASS
320, 320, 1, 320, 1, 320, PASS
324, 324, 1, 324, 1, 324, PASS
328, 328, 1, 328, 1, 328, PASS
332, 332, 1, 332, 1, 332, PASS
336, 336, 1, 336, 1, 336, PASS
340, 340, 1, 340, 1, 340, PASS
344, 344, 1, 344, 1, 344, PASS
348, 348, 1, 348, 1, 348, PASS
352, 352, 1, 352, 1, 352, PASS
356, 356, 1, 356, 1, 356, PASS
360, 360, 1, 360, 1, 360, PASS
364, 364, 1, 364, 1, 364, PASS
368, 368, 1, 368, 1, 368, PASS
372, 372, 1, 372, 1, 372, PASS
376, 376, 1, 376, 1, 376, PASS
380, 380, 1, 380, 1, 380, PASS
384, 384, 1, 384, 1, 384, PASS
388, 388, 1, 388, 1, 388, PASS
392, 392, 1, 392, 1, 392, PASS
396, 396, 1, 396, 1, 396, PASS
400, 400, 1, 400, 1, 400, PASS
404, 404, 1, 404, 1, 404, PASS
408, 408, 1, 408, 1, 408, PASS
412, 412, 1, 412, 1, 412, PASS
416, 416, 1, 416, 1, 416, PASS
420, 420, 1, 420, 1, 420, PASS
424, 424, 1, 424, 1, 424, PASS
428, 428, 1, 428, 1, 428, PASS
432, 432, 1, 432, 1, 432, PASS
436, 436, 1, 436, 1, 436, PASS
440, 440, 1, 440, 1, 440, PASS
444, 444, 1, 444, 1, 444, PASS
448, 448, 1, 448, 1, 448, PASS
452, 452, 1, 452, 1, 452, PASS
456, 456, 1, 456, 1, 456, PASS
460, 460, 1, 460, 1, 460, PASS
464, 464, 1, 464, 1, 464, PASS
468, 468, 1, 468, 1, 468, PASS
472, 472, 1, 472, 1, 472, PASS
476, 476, 1, 476, 1, 476, PASS
480, 480, 1, 480, 1, 480, PASS
484, 484, 1, 484, 1, 484, PASS
488, 488, 1, 488, 1, 488, PASS
492, 492, 1, 492, 1, 492, PASS
496, 496, 1, 496, 1, 496, PASS
500, 500, 1, 500, 1, 500, PASS
504, 504, 1, 504, 1, 504, PASS
508, 508, 1, 508, 1, 508, PASS
